,date,pm25
572,2018-10-04,14.0
573,2018-10-05,16.0
574,2018-10-06,13.0
575,2018-10-07,15.0
576,2018-10-08,14.0
577,2018-10-09,15.0
578,2018-10-10,17.0
579,2018-10-11,27.0
580,2018-10-12,34.0
581,2018-10-13,65.0
582,2018-10-14,77.0
583,2018-10-15,81.0
584,2018-10-16,75.0
585,2018-10-17,65.0
586,2018-10-18,63.0
587,2018-10-19,67.0
588,2018-10-20,47.0
589,2018-10-30,14.0
590,2018-10-31,19.0
591,2018-11-01,39.0
592,2018-11-02,31.0
593,2018-11-03,64.0
594,2018-11-04,41.0
595,2018-11-05,18.0
596,2018-11-06,26.0
597,2018-11-07,47.0
598,2018-11-08,64.0
599,2018-11-09,66.0
600,2018-11-10,56.0
601,2018-11-11,42.0
602,2018-11-12,57.0
603,2018-11-13,53.0
604,2018-11-14,41.0
605,2018-11-15,32.0
606,2018-11-16,32.0
607,2018-11-17,43.0
608,2018-11-18,54.0
609,2018-11-19,37.0
610,2018-11-20,24.0
611,2018-11-21,36.0
612,2018-11-22,33.0
613,2018-11-23,26.0
614,2018-11-24,39.0
615,2018-11-25,39.0
616,2018-11-26,25.0
617,2018-11-27,24.0
618,2018-11-28,50.0
619,2018-11-29,39.0
620,2018-11-30,33.0
621,2018-12-01,47.0
622,2018-12-02,57.0
623,2018-12-03,59.0
624,2018-12-04,54.0
625,2018-12-05,28.0
626,2018-12-06,13.0
627,2018-12-07,32.0
628,2018-12-08,35.0
629,2018-12-09,22.0
630,2018-12-10,10.0
631,2018-12-11,12.0
632,2018-12-12,28.0
633,2018-12-13,25.0
634,2018-12-14,20.0
635,2018-12-15,28.0
636,2018-12-16,39.0
637,2018-12-17,35.0
638,2018-12-18,23.0
639,2018-12-19,43.0
640,2018-12-20,53.0
641,2018-12-21,49.0
642,2018-12-22,37.0
643,2018-12-23,33.0
644,2018-12-24,26.0
645,2018-12-25,24.0
646,2018-12-26,18.0
647,2018-12-27,11.0
648,2018-12-28,17.0
649,2018-12-29,22.0
650,2018-12-30,24.0
651,2018-12-31,32.0
652,2018-07-02,9.0
653,2018-07-03,16.0
654,2018-07-04,24.0
655,2018-07-05,21.0
656,2018-07-06,19.0
657,2018-07-07,23.0
658,2018-07-08,28.0
659,2018-07-09,21.0
660,2018-07-10,20.0
661,2018-07-11,25.0
662,2018-07-12,30.0
663,2018-07-13,35.0
664,2018-07-14,42.0
665,2018-07-15,32.0
666,2018-07-16,33.0
667,2018-07-17,40.0
668,2018-07-18,47.0
669,2018-07-19,53.0
670,2018-07-20,47.0
671,2018-07-21,41.0
672,2018-07-22,49.0
673,2018-07-23,33.0
674,2018-07-24,25.0
675,2018-07-25,25.0
676,2018-07-26,25.0
677,2018-07-27,29.0
678,2018-07-28,44.0
679,2018-07-29,49.0
680,2018-07-30,55.0
681,2018-07-31,49.0
682,2018-08-01,48.0
683,2018-08-02,50.0
684,2018-08-03,59.0
685,2018-08-04,33.0
686,2018-08-05,17.0
687,2018-08-06,16.0
688,2018-08-07,12.0
689,2018-08-08,13.0
690,2018-08-09,20.0
691,2018-08-10,41.0
692,2018-08-11,48.0
693,2018-08-12,19.0
694,2018-08-13,12.0
695,2018-08-14,11.0
696,2018-08-15,17.0
697,2018-08-16,14.0
698,2018-08-17,17.0
699,2018-08-18,32.0
700,2018-08-19,24.0
701,2018-08-20,16.0
702,2018-08-21,19.0
703,2018-08-22,13.0
704,2018-08-23,15.0
705,2018-08-24,23.0
706,2018-08-25,35.0
707,2018-08-26,22.0
708,2018-08-27,16.0
709,2018-08-28,17.0
710,2018-08-29,19.0
711,2018-08-30,36.0
712,2018-08-31,25.0
713,2018-09-01,28.0
714,2018-09-02,31.0
715,2018-09-03,31.0
716,2018-09-04,34.0
717,2018-09-05,37.0
718,2018-09-06,44.0
719,2018-09-07,41.0
720,2018-09-08,53.0
721,2018-09-09,61.0
722,2018-09-10,32.0
723,2018-09-11,22.0
724,2018-09-12,31.0
725,2018-09-13,17.0
726,2018-09-14,13.0
727,2018-09-15,14.0
728,2018-09-16,13.0
729,2018-09-17,9.0
730,2018-09-18,13.0
731,2018-09-19,22.0
732,2018-09-20,34.0
733,2018-09-21,23.0
734,2018-09-22,19.0
735,2018-09-29,8.0
736,2018-09-30,8.0
737,2018-10-01,11.0
738,2018-04-02,41.0
739,2018-04-03,40.0
740,2018-04-04,43.0
741,2018-04-05,42.0
742,2018-04-06,46.0
743,2018-04-07,27.0
744,2018-04-08,23.0
745,2018-04-09,46.0
746,2018-04-10,74.0
747,2018-04-11,38.0
748,2018-04-12,33.0
749,2018-04-13,40.0
750,2018-04-14,46.0
751,2018-04-15,53.0
752,2018-04-16,70.0
753,2018-04-17,71.0
