date, pm25, pm10, no2
2019/4/26, 100, 59, 27
2019/4/27, 90, 53, 19
2019/4/28, 79, 42, 13
2019/4/29, 65, 40, 24
2019/4/30, 41, 47, 28
2019/5/1, 43, 33, 15
2019/5/2, 45, 13, 20
2019/5/3, 30, 13, 18
2019/5/4, 17, 18, 18
2019/5/5, 20, 18, 14
2019/5/6, 20, 24, 12
2019/5/7, 25, 25, 20
2019/5/8, 19, 30, 18
2019/5/9, 20, 27, 9
2019/5/10, 26, 36, 25
2019/5/11, 41, 28, 20
2019/5/12, 46, 20, 16
2019/5/13, 30, 18, 19
2019/5/14, 19, 29, 25
2019/5/15, 21, 39, 28
2019/5/16, 26, 42, 32
2019/5/17, 33, 28, 23
2019/5/18, 24, 27, 18
2019/5/19, 27, 24, 21
2019/5/20, 41, 29, 22
2019/5/21, 52, 36, 26
2019/5/22, 55, 38, 29
2019/5/23, 59, 29, 25
2019/5/24, 51, 26, 21
2019/5/25, 40, 16, 12
2019/5/26, 23, 9, 13
2019/5/27, 14, 8, 12
2019/5/28, 13, 16, 17
2019/5/29, 20, 22, 20
2019/5/30, 20, 20, 10
2019/5/31, 15, 13, 16
2019/6/1, 15, 11, 13
2019/6/2, 14, 10, 10
2019/6/3, 19, 13, 8
2019/6/4, 21, 26, 21
2019/6/5, 34, 25, 21
2019/6/6, 46, 29, 17
2019/6/7, 58, 30, 12
2019/6/8, 61, 20, 10
2019/6/9, 47, 15, 10
2019/6/10, 21, 16, 18
2019/6/11, 18, 23, 30
2019/6/12, 33, 16, 14
2019/6/13, 18, 20, 17
2019/6/14, 43, 19, 17
2019/6/15, 45, 14, 18
2019/6/16, 25, 12, 18
2019/6/17, 18, 15, 22
2019/6/18, 19, 17, 17
2019/6/19, 25, 20, 21
2019/6/20, 30, 20, 12
2019/6/21, 35, 18, 10
2019/6/22, 38, 8, 7
2019/6/23, 12, 8, 9
2019/6/24, 11, 12, 19
2019/6/25, 14, 12, 10
2019/6/26, 13, 13, 25
2019/6/27, 32, 15, 15
2019/6/28, 35, 12, 16
2019/6/29, 12, 12, 14
2019/6/30, 17, 13, 13
2019/7/1, 21, 18, 13
2019/1/2, 15, 8, 7
2019/1/3, 9, 4, 22
2019/1/4, 10, 5, 17
2019/1/5, 11, 5, 14
2019/1/6, 15, 9, 14
2019/1/7, 27, 7, 24
2019/1/8, 20, 6, 20
2019/1/9, 18, 3, 13
2019/1/10, 9, 5, 23
2019/1/11, 13, 11, 17
2019/1/12, 15, 18, 18
2019/1/13, 16, 18, 23
2019/1/14, 28, 7, 15
2019/1/15, 18, 27, 22
2019/1/16, 19, 31, 25
2019/1/17, 24, 7, 18
2019/1/18, 15, 4, 27
2019/1/19, 10, 4, 18
2019/1/20, 11, 4, 18
2019/1/21, 11, 9, 34
2019/1/22, 23, 12, 17
2019/1/23, 33, 18, 24
2019/1/24, 49, 27, 36
2019/1/25, 62, 28, 33
2019/1/26, 65, 14, 22
2019/1/27, 44, 14, 16
2019/1/28, 47, 16, 17
2019/1/29, 47, 19, 19
2019/1/30, 51, 15, 22
2019/1/31, 43, 19, 28
2019/2/1, 52, 13, 18
2019/2/2, 38, 13, 16
2019/2/3, 39, 9, 9
2019/2/4, 29, 10, 20
2019/2/5, 28, 11, 20
2019/2/6, 32, 9, 23
2019/2/7, 26, 10, 21
2019/2/8, 27, 12, 14
2019/2/9, 37, 9, 9
2019/2/10, 30, 9, 8
2019/2/11, 23, 12, 15
2019/2/12, 30, 48, 22
2019/2/13, 31, 48, 23
2019/2/14, 23, 10, 25
2019/2/15, 23, 11, 23
2019/2/16, 30, 30, 13
2019/2/17, 47, 62, 24
2019/2/18, 59, 49, 14
2019/2/19, 47, 27, 19
2019/2/20, 64, 36, 16
2019/2/21, 35, 71, 22
2019/2/22, 37, 113, 32
2019/2/23, 57, 65, 11
2019/2/24, 40, 17, 10
2019/2/25, 41, 60, 20
2019/2/26, 44, 81, 24
2019/2/27, 40, 65, 23
2019/2/28, 44, 67, 13
2019/3/1, 38, 67, 25
2019/3/2, 32, 59, 15
2019/3/3, 29, 25, 17
2019/3/4, 24, 6, 14
2019/3/5, 15, 20, 15
2019/3/6, 19, 30, 23
2019/3/7, 23, 16, 13
2019/3/8, 38, 11, 15
2019/3/9, 33, 7, 16
2019/3/10, 19, 24, 13
2019/3/11, 23, 68, 18
2019/3/12, 32, 86, 24
2019/3/13, 46, 54, 9
2019/3/14, 34, 12, 15
2019/3/15, 30, 11, 15
2019/3/16, 25, 7, 17
2019/3/17, 17, 6, 8
2019/3/18, 16, 4, 19
2019/3/19, 10, 20, 19
2019/3/20, 14, 35, 25
2019/3/21, 24, 18, 21
2019/3/22, 21, 26, 26
2019/3/23, 21, 41, 8
2019/3/24, 27, 39, 11
2019/3/25, 24, 44, 15
2019/3/26, 24, 52, 21
2019/3/27, 23, 61, 31
2019/3/28, 33, 72, 34
2019/3/29, 42, 61, 15
2019/3/30, 35, 48, 12
2019/3/31, 38, 29, 9
2019/4/1, 31, 43, 23
2018/10/2, 22, 12, 20
2018/10/3, 27, 8, 18
2018/10/4, 14, 11, 27
2018/10/5, 16, 8, 16
2018/10/6, 13, 8, 16
2018/10/7, 15, 8, 18
2018/10/8, 14, 8, 12
2018/10/9, 15, 8, 13
2018/10/10, 17, 16, 21
2018/10/11, 27, 15, 14
2018/10/12, 34, 30, 14
2018/10/13, 65, 37, 10
2018/10/14, 77, 39, 9
2018/10/15, 81, 38, 15
2018/10/16, 75, 33, 26
2018/10/17, 65, 29, 21
2018/10/18, 63, 32, 24
2018/10/19, 67, 23, 33
2018/10/20, 47, , 27
2018/10/30, 14, 8, 5
2018/10/31, 19, 16, 7
2018/11/1, 39, 14, 17
2018/11/2, 31, 29, 9
2018/11/3, 64, 19, 10
2018/11/4, 41, 11, 12
2018/11/5, 18, 10, 11
2018/11/6, 26, 17, 7
2018/11/7, 47, 25, 13
2018/11/8, 64, 26, 20
2018/11/9, 66, 21, 14
2018/11/10, 56, 15, 6
2018/11/11, 42, 22, 7
2018/11/12, 57, 17, 13
2018/11/13, 53, 15, 26
2018/11/14, 41, 13, 24
2018/11/15, 32, 14, 15
2018/11/16, 32, 19, 14
2018/11/17, 43, 25, 15
2018/11/18, 54, 18, 9
2018/11/19, 37, 20, 23
2018/11/20, 24, 26, 29
2018/11/21, 36, 23, 21
2018/11/22, 33, 18, 22
2018/11/23, 26, 16, 23
2018/11/24, 39, 16, 19
2018/11/25, 39, 9, 19
2018/11/26, 25, 18, 28
2018/11/27, 24, 24, 28
2018/11/28, 50, 17, 32
2018/11/29, 39, 14, 7
2018/11/30, 33, 16, 7
2018/12/1, 47, 19, 8
2018/12/2, 57, 22, 9
2018/12/3, 59, 18, 7
2018/12/4, 54, 9, 18
2018/12/5, 28, 16, 20
2018/12/6, 13, 17, 24
2018/12/7, 32, 13, 16
2018/12/8, 35, 7, 10
2018/12/9, 22, 4, 10
2018/12/10, 10, 5, 19
2018/12/11, 12, 9, 15
2018/12/12, 28, 8, 19
2018/12/13, 25, 7, 18
2018/12/14, 20, 9, 25
2018/12/15, 28, 17, 18
2018/12/16, 39, 12, 14
2018/12/17, 35, 9, 27
2018/12/18, 23, 18, 21
2018/12/19, 43, 19, 18
2018/12/20, 53, 16, 7
2018/12/21, 49, 14, 16
2018/12/22, 37, 11, 15
2018/12/23, 33, 8, 11
2018/12/24, 26, 7, 11
2018/12/25, 24, 6, 13
2018/12/26, 18, 4, 13
2018/12/27, 11, 6, 18
2018/12/28, 17, 7, 22
2018/12/29, 22, 7, 15
2018/12/30, 24, 11, 13
2018/12/31, 32, , 
2018/7/2, 9, 13, 14
2018/7/3, 16, 19, 20
2018/7/4, 24, 18, 19
2018/7/5, 21, 17, 21
2018/7/6, 19, 20, 20
2018/7/7, 23, 16, 10
2018/7/8, 28, 13, 10
2018/7/9, 21, 14, 18
2018/7/10, 20, 18, 18
2018/7/11, 25, 18, 19
2018/7/12, 30, 19, 16
2018/7/13, 35, 25, 25
2018/7/14, 42, 18, 17
2018/7/15, 32, 15, 13
2018/7/16, 33, 20, 23
2018/7/17, 40, 24, 25
2018/7/18, 47, 26, 22
2018/7/19, 53, 24, 22
2018/7/20, 47, 25, 24
2018/7/21, 41, 21, 14
2018/7/22, 49, 16, 12
2018/7/23, 33, 16, 19
2018/7/24, 25, 17, 16
2018/7/25, 25, 16, 12
2018/7/26, 25, 18, 19
2018/7/27, 29, 22, 24
2018/7/28, 44, 23, 19
2018/7/29, 49, 27, 8
2018/7/30, 55, 22, 13
2018/7/31, 49, 22, 12
2018/8/1, 48, 26, 9
2018/8/2, 50, 32, 18
2018/8/3, 59, 20, 21
2018/8/4, 33, 11, 14
2018/8/5, 17, 10, 13
2018/8/6, 16, 13, 17
2018/8/7, 12, 13, 19
2018/8/8, 13, 18, 11
2018/8/9, 20, 25, 24
2018/8/10, 41, 24, 8
2018/8/11, 48, 13, 10
2018/8/12, 19, 7, 17
2018/8/13, 12, 9, 16
2018/8/14, 11, 13, 22
2018/8/15, 17, 9, 26
2018/8/16, 14, 14, 16
2018/8/17, 17, 16, 14
2018/8/18, 32, 13, 9
2018/8/19, 24, 10, 9
2018/8/20, 16, 15, 21
2018/8/21, 19, 11, 15
2018/8/22, 13, 16, 16
2018/8/23, 15, 17, 20
2018/8/24, 23, 20, 15
2018/8/25, 35, 11, 12
2018/8/26, 22, 8, 21
2018/8/27, 16, 9, 18
2018/8/28, 17, 10, 15
2018/8/29, 19, 16, 18
2018/8/30, 36, 11, 15
2018/8/31, 25, 11, 23
2018/9/1, 28, 13, 13
2018/9/2, 31, 13, 19
2018/9/3, 31, 18, 26
2018/9/4, 34, 23, 32
2018/9/5, 37, 20, 27
2018/9/6, 44, 20, 21
2018/9/7, 41, 24, 19
2018/9/8, 53, 33, 13
2018/9/9, 61, 15, 16
2018/9/10, 32, 11, 9
2018/9/11, 22, 14, 14
2018/9/12, 31, 12, 11
2018/9/13, 17, 11, 19
2018/9/14, 13, 11, 15
2018/9/15, 14, 8, 11
2018/9/16, 13, 6, 12
2018/9/17, 9, 7, 18
2018/9/18, 13, 14, 16
2018/9/19, 22, 18, 14
2018/9/20, 34, 14, 20
2018/9/21, 23, 11, 16
2018/9/22, 19, , 13
2018/9/29, 8, 5, 14
2018/9/30, 8, 6, 13
2018/10/1, 11, 12, 21
2018/4/2, 41, 45, 9
2018/4/3, 40, 78, 36
2018/4/4, 43, 42, 13
2018/4/5, 42, 19, 16
2018/4/6, 46, 21, 26
2018/4/7, 27, 43, 18
2018/4/8, 23, 60, 18
2018/4/9, 46, 61, 28
2018/4/10, 74, 50, 22
2018/4/11, 38, 61, 25
2018/4/12, 33, 60, 23
2018/4/13, 40, 67, 30
2018/4/14, 46, 62, 25
2018/4/15, 53, 67, 22
2018/4/16, 70, 64, 31
2018/4/17, 71, 67, 25
2018/4/18, 60, 51, 27
2018/4/19, 52, 58, 29
2018/4/20, 44, 63, 30
2018/4/21, 55, 58, 14
2018/4/22, 53, 44, 14
2018/4/23, 21, 33, 8
2018/4/24, 17, 28, 20
2018/4/25, 26, 30, 25
2018/4/26, 23, 34, 25
2018/4/27, 24, 41, 28
2018/4/28, 28, 37, 24
2018/4/29, 29, 28, 27
2018/4/30, 38, 30, 21
2018/5/1, 37, 15, 9
2018/5/2, 18, 36, 19
2018/5/3, 31, 22, 8
2018/5/4, 37, 49, 24
2018/5/5, 37, 50, 15
2018/5/6, 35, 41, 13
2018/5/7, 41, 66, 26
