date, pm25, pm10, o3, no2, so2, co
2019/8/15, 38, 26, 21, , , 3
2019/8/16, 42, 26, 18, , , 3
2019/8/17, 44, 35, 11, , , 5
2019/8/18, 48, 33, 15, , , 4
2019/8/19, 33, 18, 9, , , 2
2019/8/20, 27, 17, 34, , , 3
2019/8/21, 51, 37, 23, , 1, 4
2019/8/22, 61, 42, 19, , , 6
2019/8/23, 49, 32, 26, , , 4
2019/8/24, 45, 32, 26, , 1, 4
2019/8/25, 49, 38, 21, , , 5
2019/8/26, 35, 24, 23, , , 3
2019/8/27, 40, 31, 19, , , 5
2019/8/28, 41, 27, 19, , , 4
2019/8/29, 36, 29, 26, , , 3
2019/8/30, 70, 29, 30, , , 24
2019/8/31, 54, 34, 17, , , 8
2019/9/4, 61, 51, 17, , , 6
2019/9/6, 561, 60, 14, , , 25
2019/9/8, 42, 44, 28, , , 4
2019/9/9, 61, 45, 28, , , 6
2019/9/10, 65, 47, 28, , , 5
2019/9/11, 83, 59, 32, , , 7
2019/9/12, 87, 60, 31, , , 6
2019/9/13, 65, 52, 28, , , 6
2019/9/14, 65, 48, 19, , , 4
2019/9/15, 33, 22, 18, , , 4
2019/9/16, 19, 12, 17, , , 2
2019/9/17, 17, 13, 16, , , 2
2019/9/18, 24, 12, 10, , , 2
2019/9/19, 30, 19, 7, , , 4
2019/9/20, 41, 22, 6, , , 3
2019/9/21, 40, 26, 14, , , 4
2019/9/22, 33, 22, 16, , , 3
2019/9/23, 18, 6, 15, , , 2
2019/9/24, 23, 13, 9, , , 2
2019/9/25, 31, 20, 12, , , 4
2019/9/26, 36, 22, 15, , , 4
2019/9/27, 40, 28, 11, , , 4
2019/9/28, 70, 46, 5, , , 5
2019/9/29, 56, 36, 5, , , 5
2019/9/30, 64, 30, 10, , , 4
2019/10/1, 45, 18, 13, , , 1
2019/4/2, 49, 63, , 10, , 4
2019/4/3, 48, 71, , 19, 1, 4
2019/4/4, 64, 78, , 18, 1, 4
2019/4/5, 69, 81, , 20, 1, 5
2019/4/6, 73, 71, , 16, , 5
2019/4/7, 70, 57, , 13, , 4
2019/4/8, 69, 48, , 13, , 2
2019/4/9, 72, 54, , 12, 1, 2
2019/4/10, 88, 61, , 17, 1, 3
2019/4/11, 102, 59, , 13, , 4
2019/4/12, 67, 62, , 11, , 5
2019/4/13, 62, 68, , 10, , 3
2019/4/14, 61, 55, , 18, , 4
2019/4/15, 59, 31, , 11, , 3
2019/4/16, 31, 62, , 11, 1, 2
2019/4/17, 63, 62, , 11, , 3
2019/4/18, 56, 80, , 43, 1, 6
2019/4/19, 107, 62, , 19, 1, 3
2019/4/20, 81, 76, , 20, 1, 4
2019/4/21, 86, 72, , 17, 2, 4
