date, pm25, pm10, o3, no2, so2, co
11/14/2014,66, ,15,11, ,3
11/15/2014,25, ,23,7, ,3
11/16/2014,38, ,27,4, ,2
11/17/2014,28, ,25,12, ,3
11/18/2014,44,22,35,13, ,3
11/19/2014,41,34,43,22, ,5
11/20/2014,59,36,31,21, ,5
11/21/2014,68,44,39,25, ,7
11/22/2014,81,34,16,26, ,9
11/23/2014,84,19,21,13, ,7
11/24/2014,47,23,23,12, ,7
11/25/2014,49,23,24,19, ,8
11/26/2014,54,15,8,19, ,10
11/27/2014,43,9,11,12, ,7
11/28/2014,25,14,22,10, ,4
11/29/2014,31,12,14,6, ,4
11/30/2014,24,18,32,8, ,5
12/1/2014,38,26,20,18, ,8
12/2/2014,64,24,19,21, ,8
12/3/2014,52,22,21,18, ,6
12/4/2014,35,31,8,22, ,8
12/5/2014,61,18,12,11, ,3
12/6/2014,21,22,30,10, ,5
12/7/2014,36,24,43,12, ,6
12/8/2014,43,45,29,24, ,10
12/9/2014,60,38,10,26, ,14
12/10/2014,66,19,9,20, ,12
12/11/2014,55,17,13,19, ,12
12/12/2014,40,23,12,23, ,13
12/13/2014,58,10,9,13, ,10
12/14/2014,26,9,13,9, ,8
12/15/2014,26,19,22,9, ,3
12/16/2014,45,24,27,12, ,3
12/17/2014,46,25,32,19, ,5
12/18/2014,57,32,49,23, ,7
12/19/2014,57,29,27,24, ,9
12/20/2014,79,13,22,15, ,9
12/21/2014,28,9,20,7, ,7
12/22/2014,23,11,9,11, ,9
12/23/2014,20,13,7,13, ,4
12/24/2014,19,8,14,8, ,5
12/25/2014,14,13,27,10, ,7
12/26/2014,35,25,46,14, ,8
12/27/2014,64,30,44,18, ,10
12/28/2014,65,30,35,21, ,10
12/29/2014,65, , , , , 
1/1/2015, ,18,25,9, ,7
1/2/2015,55,13,22,12, ,7
1/3/2015,30,11,29,9, ,8
1/4/2015,37,10,23,10, ,9
1/5/2015,29,17,24,15, ,7
1/6/2015,44,20,34,17, ,6
1/7/2015,42,21,32,23, ,7
1/8/2015,52,22,34,27, ,8
1/9/2015,51,34,39,27, ,10
1/10/2015,69,31,21,23, ,9
1/11/2015,85,19,30,13, ,6
1/12/2015,36,26,40,32, ,10
