date, pm25, pm10, o3, no2, so2, co
2019/4/10, 65, 50, 112, 33, , 
2019/4/11, 90, 50, 76, 26, , 
2019/4/12, 67, 55, 60, 28, , 
2019/4/13, 75, 38, 73, 21, , 
2019/4/14, 58, 66, 113, 27, , 
2019/4/15, 126, 62, 105, 31, , 
2019/4/16, 106, 60, 94, 26, , 
2019/4/17, 101, 56, 99, 31, , 
2019/4/18, 100, 40, 63, 24, , 
2019/4/19, 73, 44, 79, 12, , 
2019/4/20, 65, 40, 83, 23, , 
2019/4/21, 64, 48, 90, 23, , 
2019/4/22, 78, 55, 86, 34, , 
2019/4/23, 92, 57, 69, 34, , 
2019/4/24, 100, 60, 52, 37, , 
2019/4/25, 107, 61, 84, 32, 2, 6
2019/4/26, 111, 57, 86, 31, 19, 6
2019/4/27, 103, 57, 82, 32, 3, 6
2019/4/28, 109, 56, 103, 31, 2, 8
2019/4/29, 108, 51, 37, 41, 3, 9
2019/4/30, 103, 48, 69, 34, 2, 8
2019/5/1, 98, 30, 4, 41, 3, 10
2019/5/2, 68, 45, 48, 21, 3, 4
2019/5/3, 63, 47, 57, 40, 2, 9
2019/5/4, 81, 57, 74, 34, 3, 8
2019/5/5, 110, 48, 64, 21, 1, 6
2019/5/6, 96, 57, 53, 25, 1, 7
2019/5/7, 112, 55, 55, 36, 3, 11
2019/5/8, 104, 53, 47, 33, 2, 9
2019/5/9, 89, 54, 42, 31, 2, 9
2019/5/10, 90, 41, 73, 22, 2, 6
2019/5/11, 88, 65, 97, 27, 14, 7
2019/5/12, 135, 79, 87, 29, 3, 9
2019/5/13, 158, 80, 85, 37, 4, 11
2019/5/14, 161, 72, 82, 45, 3, 12
2019/5/15, 154, 75, 94, 27, 19, 7
2019/5/16, 151, 71, 72, 39, 3, 12
2019/5/17, 146, 45, 57, 33, 2, 8
2019/5/18, 92, 44, 67, 29, 2, 7
2019/5/19, 82, 36, 71, 23, 3, 5
2019/5/20, 74, 46, 86, 25, 1, 5
2019/5/21, 93, 48, 84, 32, 2, 8
2019/5/22, 80, 42, 93, 32, 2, 9
2019/5/23, 81, 50, 86, 31, 3, 8
2019/5/24, 87, 44, 83, 25, 2, 7
2019/5/25, 89, 49, 74, 23, 19, 7
