date, pm25, pm10, o3, so2, co
3/19/2016,56, , , , 
3/23/2016,35, , , , 
3/24/2016,35, , , , 
3/25/2016,45, , , , 
3/26/2016,29, , , , 
3/30/2016,47, , , , 
3/31/2016,33, , , , 
4/1/2016,37, , , , 
4/2/2016,43, , , , 
4/4/2016,40, , , , 
4/5/2016,41, , , , 
4/6/2016,42, , , , 
4/7/2016,49, , , , 
4/8/2016,36, , , , 
4/9/2016,37, , , , 
4/10/2016,38, , , , 
4/11/2016,30, , , , 
4/12/2016,41, , , , 
4/13/2016,42, , , , 
4/14/2016,40, , , , 
4/15/2016,39, , , , 
4/16/2016,32, , , , 
4/17/2016,23, , , , 
4/18/2016,34, , , , 
4/19/2016,34, , , , 
4/20/2016,39, , , , 
4/21/2016,36, , , , 
4/22/2016,44, , , , 
4/23/2016,42, , , , 
4/24/2016,34, , , , 
4/25/2016,35, , , , 
4/26/2016,32, , , , 
4/27/2016,35, , , , 
4/28/2016,40, , , , 
4/29/2016,38, , , , 
4/30/2016,36, , , , 
5/1/2016,31, , , , 
5/2/2016,35, , , , 
5/3/2016,48, , , , 
5/4/2016,42, , , , 
5/5/2016,50, , , , 
5/6/2016,32, , , , 
5/7/2016,37, , , , 
5/8/2016,29, , , , 
5/9/2016,38, , , , 
5/10/2016,33, , , , 
5/11/2016,32, , , , 
5/12/2016,34, , , , 
5/13/2016,34, , , , 
5/14/2016,39, , , , 
5/15/2016,40, , , , 
5/16/2016,45, , , , 
5/17/2016,40, , , , 
5/18/2016,34, , , , 
5/19/2016,33, , , , 
5/20/2016,28, , , , 
5/21/2016,27, , , , 
5/22/2016,35, , , , 
5/23/2016,32, , , , 
5/24/2016,46, , , , 
5/25/2016,42, , , , 
5/26/2016,35, , , , 
5/27/2016,35, , , , 
5/28/2016,33, , , , 
5/29/2016,25, , , , 
5/30/2016,25, , , , 
5/31/2016,31, , , , 
6/1/2016,30, , , , 
6/2/2016,32, , , , 
6/3/2016,29, , , , 
6/4/2016,32, , , , 
6/5/2016,26, , , , 
6/6/2016,38, , , , 
6/7/2016,64, , , , 
6/8/2016,52, , , , 
6/9/2016,32, , , , 
6/10/2016,40, , , , 
6/11/2016,43, , , , 
6/12/2016,37, , , , 
6/13/2016,28, , , , 
6/14/2016,44, , , , 
6/15/2016,41, , , , 
6/16/2016,32, , , , 
6/17/2016,36, , , , 
6/18/2016,33, , , , 
6/19/2016,39, , , , 
6/20/2016,37, , , , 
6/21/2016,37, , , , 
6/22/2016,37, , , , 
6/23/2016,38, , , , 
6/24/2016,35, , , , 
6/25/2016,34, , , , 
6/26/2016,29, , , , 
6/27/2016,26, , , , 
6/28/2016,29, , , , 
6/29/2016,33, , , , 
6/30/2016,27, , , , 
7/1/2016,33, , , , 
7/2/2016,38, , , , 
7/3/2016,37, , , , 
7/4/2016,51, , , , 
7/5/2016,47, , , , 
7/6/2016,66, , , , 
7/7/2016,55, , , , 
7/8/2016,55, , , , 
7/9/2016,46, , , , 
7/10/2016,53, , , , 
7/11/2016,42, , , , 
7/12/2016,37, , , , 
7/13/2016,43, , , , 
7/14/2016,43, , , , 
7/15/2016,28, , , , 
7/16/2016,32, , , , 
7/17/2016,28, , , , 
7/18/2016,29, , , , 
7/19/2016,36, , , , 
7/20/2016,37, , , , 
7/21/2016,47, , , , 
7/22/2016,38, , , , 
7/23/2016,37, , , , 
7/24/2016,32, , , , 
7/25/2016,29, , , , 
7/26/2016,39, , , , 
7/27/2016,39, , , , 
7/28/2016,44, , , , 
7/29/2016,41, , , , 
7/30/2016,49, , , , 
7/31/2016,52, , , , 
8/1/2016,36, , , , 
8/2/2016,63, , , , 
8/3/2016,61, , , , 
8/4/2016,46, , , , 
8/5/2016,51, , , , 
8/6/2016,43, , , , 
8/7/2016,48, , , , 
8/8/2016,40, , , , 
8/9/2016,41, , , , 
8/10/2016,30, , , , 
8/11/2016,43, , , , 
8/12/2016,32, , , , 
8/13/2016,31, , , , 
8/14/2016,29, , , , 
8/15/2016,35, , , , 
8/16/2016,38, , , , 
8/17/2016,34, , , , 
8/18/2016,35, , , , 
8/19/2016,37, , , , 
8/20/2016,35, , , , 
8/21/2016,32, , , , 
8/22/2016,33, , , , 
8/23/2016,37, , , , 
8/24/2016,46, , , , 
8/25/2016,44, , , , 
8/26/2016,38, , , , 
8/27/2016,40, , , , 
8/28/2016,36, , , , 
8/29/2016,27, , , , 
8/30/2016,29, , , , 
8/31/2016,24, , , , 
9/1/2016,42, , , , 
9/2/2016,59, , , , 
9/3/2016,58, , , , 
9/4/2016,53, , , , 
9/5/2016,40, , , , 
9/6/2016,34, , , , 
9/7/2016,43, , , , 
9/8/2016,48, , , , 
9/9/2016,42, , , , 
9/10/2016,31, , , , 
9/11/2016,24, , , , 
9/12/2016,23, , , , 
9/13/2016,30, , , , 
9/14/2016,30, , , , 
9/15/2016,28, , , , 
9/16/2016,31, , , , 
9/17/2016,32, , , , 
9/18/2016,28, , , , 
9/19/2016,23, , , , 
9/20/2016,29, , , , 
9/21/2016,33, , , , 
9/22/2016,34, , , , 
9/23/2016,37, , , , 
9/24/2016,34, , , , 
9/25/2016,40, , , , 
9/26/2016,21, , , , 
9/27/2016,25, , , , 
9/28/2016,25, , , , 
9/29/2016,29, , , , 
9/30/2016,33, , , , 
10/1/2016,36, , , , 
10/2/2016,30, , , , 
10/3/2016,27, , , , 
10/4/2016,31, , , , 
10/5/2016,34, , , , 
10/6/2016,36, , , , 
10/13/2016,32, , , , 
10/14/2016,38, , , , 
10/15/2016,33, , , , 
10/16/2016,30, , , , 
10/17/2016,20, , , , 
10/18/2016,31, , , , 
10/19/2016,33, , , , 
10/20/2016,32, , , , 
10/21/2016,36, , , , 
10/22/2016,35, , , , 
10/23/2016,42, , , , 
10/24/2016,29, , , , 
10/25/2016,34, , , , 
10/26/2016,39, , , , 
10/27/2016,41, , , , 
10/28/2016,36, , , , 
10/30/2016,34, , , , 
10/31/2016,30, , , , 
11/1/2016,36, , , , 
11/2/2016,32, , , , 
11/3/2016,41, , , , 
11/4/2016,36, , , , 
11/5/2016,31, , , , 
11/6/2016,39, , , , 
11/7/2016,31, , , , 
11/8/2016,31, , , , 
11/9/2016,34, , , , 
11/10/2016,30, , , , 
11/11/2016,43, , , , 
11/12/2016,55, , , , 
11/13/2016,54, , , , 
11/14/2016,33, , , , 
11/15/2016,37, , , , 
11/16/2016,52, , , , 
11/17/2016,52, , , , 
11/18/2016,64, , , , 
11/19/2016,52, , , , 
11/20/2016,56, , , , 
11/21/2016,47, , , , 
11/22/2016,35, , , , 
11/23/2016,43, , , , 
11/24/2016,30, , , , 
11/25/2016,22, , , , 
11/26/2016,26, , , , 
11/27/2016,32, , , , 
11/28/2016,33, , , , 
