date, pm25, pm10, o3, no2, so2, co
2019/6/5, 56, , 26, 5, 1, 2
2019/6/6, 50, , 24, 2, , 2
2019/6/7, 35, , 23, 7, 1, 2
2019/6/8, 37, , 28, 8, 1, 3
2019/6/9, 30, , 39, 15, 2, 5
2019/6/10, 47, , 65, 16, 2, 4
2019/6/11, 48, , 57, 17, 1, 4
2019/6/12, 54, , 29, 7, 1, 2
2019/6/13, 45, , 24, 2, , 2
2019/6/14, 18, , 20, 2, 1, 2
2019/6/15, 25, , 20, 2, , 1
2019/6/16, 21, , 20, 2, , 1
2019/6/17, 25, , 18, 4, 1, 2
2019/6/18, 40, , 21, 4, 1, 2
2019/6/19, 27, , 20, 4, 1, 2
2019/6/20, 21, , 24, 3, 1, 2
2019/6/21, 39, , 22, 6, 1, 2
2019/6/22, 46, , 21, 4, 1, 2
2019/6/23, 60, , 22, 3, 1, 2
2019/6/24, 50, , 24, 4, 1, 2
2019/6/25, 39, , 24, 3, 1, 2
2019/6/26, 38, , 22, 3, 1, 2
2019/6/27, 22, , 21, 3, 2, 2
2019/6/28, 22, , 19, 4, 3, 2
2019/6/29, 25, , 19, 3, 1, 2
2019/6/30, 30, , 22, 2, , 2
2019/7/1, 28, , 22, 4, 1, 2
2019/1/2, 17, , 14, 24, 2, 5
2019/1/3, 45, , 15, 25, 1, 5
2019/1/4, 69, , 14, 27, 1, 5
2019/1/5, 80, , 32, 6, 1, 2
2019/1/6, 27, , 29, 4, 1, 2
2019/1/7, 18, , 26, 18, 1, 4
2019/1/8, 26, , 22, 15, 1, 4
2019/1/9, 29, , 30, 8, , 3
2019/1/10, 25, , 13, 21, 1, 5
2019/1/11, 46, , 8, 20, 1, 4
2019/1/12, 41, , 25, 13, 1, 3
2019/1/13, 30, , 19, 15, 1, 4
2019/1/14, 40, , 23, 15, 1, 3
2019/1/15, 29, , 29, 9, , 3
2019/1/16, 12, , 28, 5, 1, 2
2019/1/17, 13, , 33, 4, , 3
2019/1/18, 49, , 26, 16, 1, 4
2019/1/19, 52, , 22, 14, 1, 4
2019/1/20, 47, , 34, 4, , 3
2019/1/21, 21, , 31, 7, , 3
2019/1/22, 21, , 24, 16, 1, 4
2019/1/23, 22, , 16, 23, 2, 7
2019/1/24, 43, , 17, 22, 2, 6
2019/1/25, 42, , 19, 21, 3, 6
2019/1/26, 55, , 23, 23, 1, 6
2019/1/27, 51, , 24, 17, 1, 5
2019/1/28, 72, , 13, 16, 1, 5
2019/1/29, 46, , 18, 8, 1, 3
2019/1/30, 30, , 19, 11, 2, 3
2019/1/31, 42, , 26, 12, , 3
2019/2/1, 43, , 30, 8, , 3
2019/2/2, 20, , 36, 3, , 2
